board,from,to,results
r2qkb1r/1p2pppp/1np2n2/p3Nb2/P2P4/2N5/1P2PPPP/R1BQKB1R w KQkq - 0 9,48,32,-1.0
1b6/k5B1/1p6/p1p3p1/Pn2p3/NPN1Pb2/2P4r/1K2R3 w - - 16 42,42,25,1.0
8/4kr2/pp6/6p1/P2PP3/1P6/4K2B/8 w - - 1 45,43,52,1.0
rqb1kb1r/pp1p1ppp/2n1pn2/1N6/4P3/2N3P1/PPP2P1P/R1BQKB1R w KQkq - 3 8,50,57,1.0
r2k3r/pppbnqp1/2n5/3pp2p/1b4P1/2NP1PQP/PPP1N1B1/R1BK3R w KQkq - 1 11,58,51,1.0
rn1q1rk1/1ppbbppp/p3pn2/8/P1pP4/5NP1/1PQ1PPBP/RNB2RK1 w - - 1 9,58,51,0.0
k1r5/1p6/pQn1qp2/7R/P3p1Pp/1n1PP2P/KB2B3/8 w - - 0 45,11,17,0.0
r1bkqb1r/p1pp2pp/1pn2n2/8/4pP2/1PN4p/PBPPP3/1KR1QBNR w KQ - 0 8,49,41,-1.0
1k1rq2r/pp3pp1/2p2nn1/3p2p1/6P1/1P2P2P/PKP1NPB1/2R1Q1R1 w - - 1 17,62,45,1.0
1k2qr2/1p1b2pp/p2b4/P3np2/3Np3/2r1P1PP/1PP1BQ2/1KR4R w - - 0 18,58,18,1.0
1k1r3r/1p1b4/p1p5/P4pp1/1P2p2p/2K1P2P/2P1BPP1/1R5R w - - 0 31,58,51,0.0
6k1/1pp3N1/3p3p/3P4/2P1n1q1/3Q4/P3rBPP/5R1K w - - 1 34,18,28,1.0
8/kp6/8/3PQ3/1p4p1/1K6/2Pq3P/8 w - - 0 41,33,25,-1.0
2R5/8/8/3p4/1K4rp/4k3/P7/8 w - - 1 65,27,20,1.0
8/pp5p/3kb3/2p3p1/3P4/P1P3K1/1P5P/3B4 w - - 0 41,42,34,0.0
r2q1rk1/2pn1pbp/p4np1/1p2p3/4P3/2PB1QNP/PP3PP1/R1B2RK1 w - - 1 13,57,51,1.0
4rk2/p5pp/b1N2b2/3p1p2/p7/1P2P3/P1PQ1PPq/3RRK2 w - - 4 20,58,40,1.0
8/8/3pk3/1R6/4P3/pKp5/8/b7 w - - 4 92,9,0,0.0
1k1rq2r/ppp3pp/3b1nb1/4p3/1n1pP3/3B1NNP/PPPBQPP1/K1R4R w - - 2 15,42,25,0.0
3rbk2/p4pp1/nb2p2p/1pp1P3/5P2/1NP1B1P1/PP2BK1P/4R3 w - - 6 28,42,60,0.0
1k6/pp3q2/2pb2p1/3p1rPp/5P2/2P1Q3/PP2R3/1K2R3 w - - 11 37,36,43,-1.0
rnbkqb1r/ppp2ppp/5n2/3pp3/4P3/3P4/PPP2PPP/RNBKQBNR w KQkq - 1 3,62,45,-1.0
1kbr3r/bpp2qp1/p1n2p2/3p3p/4pP2/1PN1P1PP/PBPPBQ2/1KR4R w - - 0 18,43,35,-1.0
1k1q3r/2p3pr/1pn2p2/p3pQ2/2N1P1RP/1PPP4/1PK5/R7 w - - 4 33,62,63,-1.0
1k1rqb1r/ppp1n3/4ppn1/2Pp4/1P1P1P1p/3B2NP/PB1Q1P2/1KR4R w - - 0 19,39,31,-1.0
1kr2bnr/pbpp1qpp/1pn5/4pP2/8/2NP4/PPPB1PPP/1KR1QBNR w - - 1 7,60,53,0.0
rnbkqbnr/ppp2ppp/8/3pp3/8/3P4/PPP1PPPP/RNBKQBNR w KQkq - 0 2,51,35,1.0
3r4/1k1r2pp/1p3b2/3npp2/8/1NP1B2P/1P2KPP1/R2R4 w - - 0 24,48,41,0.0
rnbqkbnr/pp2pppp/3p4/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,51,43,-1.0
2r4r/pkp5/1p2q2p/1Q1pb3/3P2p1/5PP1/PPP5/1KR1R3 w - - 0 25,54,36,0.0
8/1k4p1/pPrp1p2/2r4p/P7/KR1RPP2/7P/8 w - - 1 37,35,34,1.0
1r3k2/2p5/2Pp1np1/np5p/1N5P/1P3BP1/P1R5/4K3 w - - 1 44,41,57,1.0
r2r4/p5p1/1p2k3/2b1p1p1/4Pp2/2B2P1P/1PP3P1/1K1R1R2 w - - 4 25,63,59,0.0
8/8/5N1k/1b3P2/1P3K2/8/8/8 w - - 0 72,55,47,1.0
1k6/1pp5/p7/4PQp1/7p/PPq4P/2P1r3/1K5R w - - 1 29,11,12,-1.0
r1bqkb1r/pppp1ppp/2n2n2/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,62,45,0.0
8/6pk/2p3q1/8/2Q1P2p/1P3R2/2P4K/r7 w - - 4 38,8,0,1.0
4k3/5pp1/pqp3p1/1p5n/P1n1P3/2Q2PP1/1P2N1B1/4K3 w - - 6 28,45,39,-1.0
1k1q1b2/1p6/p7/3N1Q1P/3P4/6P1/5P2/6K1 w - - 2 39,16,61,1.0
8/8/5B2/2pk1p1b/4pP1P/1Pp1K3/4N3/4b3 w - - 0 58,25,18,0.0
rn1q1rk1/pp1bppbp/1n4p1/2p5/2PP4/5N1P/PP2BPP1/RNBQ1RK1 w - - 0 10,50,34,1.0
r1b1rnk1/4qpp1/p2p1n1p/2p4P/2PPp3/N1B1P3/P3BPP1/1R1QK2R w K - 1 20,46,61,0.0
1kb4r/1pp1r3/P1q2p2/R6p/2n1N3/3P1Q2/1PP1N1PP/2R2K2 w - - 1 26,41,26,0.0
1kr1qb1r/pbpp2pp/1pn2n2/4pp2/8/1PN1P3/PBPPNPPP/1KR1QB1R w - - 4 7,59,57,0.0
1k6/1n3p2/8/8/3P4/QP3P2/PKR3PP/3q3r w - - 5 41,48,57,0.0
2r5/5p1k/pbp1n2p/3pBpp1/r2N4/P1P1P3/1PR2PPP/3R1K2 w - - 5 27,59,58,1.0
1rbr1k2/p1N2npp/1ppP1n2/8/8/2K2P2/PPP1B2P/R1BR4 w - - 0 18,49,41,-1.0
k1r5/1p1r4/4q1p1/p1p2p2/P1P1p3/2P3Q1/2KP2P1/2R2R2 w - - 1 34,52,44,1.0
1k2r3/1ppr2bp/p1n2qp1/4pp2/2Q5/1PNP1P1P/1PPB2P1/1K1RR3 w - - 3 21,52,51,0.0
rnbkqbnr/pppp2pp/8/4pp2/8/3P4/PPP1PPPP/RNBKQBNR w KQkq - 0 2,53,37,1.0
1k1q1r2/pbr4p/1p4p1/1Bp1B3/1PNp4/1QnP4/P1P4P/1K4R1 w - - 5 35,35,18,-1.0
8/p2k4/1p6/3P2p1/3PR3/P3P1p1/1PK5/6r1 w - - 0 34,30,22,-1.0
6R1/5k2/5rp1/2b5/6K1/8/7P/8 w - - 1 54,44,53,-1.0
8/p2p3p/r3bk2/6R1/P1NK1P2/1pP5/1P5P/8 w - - 9 43,41,40,0.0
1kr5/2p4p/1pQ3p1/p7/P4qP1/1P1R4/K1P5/8 w - - 1 39,13,29,1.0
r1bkqb1r/ppp3pp/2n2n2/4pp2/8/1PN2N2/P1PPP1PP/R1BKQB1R w KQkq - 0 6,43,36,0.0
rnbqkb1r/pp3ppp/4pn2/2p5/2pP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 0 6,50,34,1.0
8/1pk2p2/2p3p1/p4b2/P6p/1P3P2/1KP2RPP/3rrBR1 w - - 5 25,59,3,1.0
2R5/6k1/1p3pp1/4p2p/4P2P/2P2P1Q/6PK/3q1r2 w - - 2 40,43,3,-1.0
r1b1rnk1/1p2qpb1/2p3p1/p3p3/2P1P1n1/1PNN1BP1/PB3P2/R1QR2K1 w - - 3 19,51,61,0.0
rnbkqbnr/pppp1ppp/8/4p3/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,52,36,1.0
3r3r/1kp1n1pp/5p2/1P2p3/3bP3/1P1P2P1/1B4BP/1K1R1R2 w - - 1 26,57,49,0.0
1k6/1pp3bp/3p2p1/5n2/2PP4/2P2N2/1K1Br1PP/7R w - - 0 29,60,12,1.0
1kr1qbr1/pbpp2p1/1pn1pn1p/5p2/3P3P/1PN1PN2/PBP2PP1/1KR1QB1R w - - 0 9,55,47,0.0
6k1/ppn1Rrp1/2q2r1p/P2pQ3/3R4/1P3P2/2P3PP/6K1 w - - 6 31,61,53,-1.0
r1bk3r/ppp2qpp/2np1n2/4p3/4P3/1PP4P/PBP3P1/R2KQBNR w KQkq - 0 9,51,43,1.0
1k2r3/2p4p/bp1p4/p2P4/2P2P2/1P3q2/1PRQr2P/2KN2R1 w - - 1 27,36,12,0.0
r5k1/3n1p1p/3Np1p1/pp1nP1B1/qP1Q4/r6P/3R1PP1/4R1K1 w - - 0 29,48,32,-1.0
rnbkqbnr/ppp3pp/5p2/4p3/4pP2/3P4/PPP3PP/RNBKQBNR w KQkq - 0 4,35,28,0.0
k6r/2b2R2/7p/2p5/p1P1r3/Pn3NP1/2K4P/7R w - - 0 31,60,28,1.0
r1bk3r/ppp1q1pp/2np1n2/4pp2/1b3P1Q/1PN5/PBPPP1PP/1KR2BNR w KQ - 2 7,60,52,-1.0
r5k1/pp1brppp/1q5P/3p4/n5P1/1pP2P2/P1PQN3/1K1R1B1R w - - 0 21,26,17,0.0
rn1qkb1r/pp3ppp/2p1pn2/8/4p3/2N2Q1P/PPPPBPP1/R1B2RK1 w kq - 0 8,35,28,1.0
rn1kqbnr/ppp2ppp/4p3/3p1b2/3P4/2N5/PPP1PPPP/R1BKQBNR w KQkq - 0 3,52,44,-1.0
1kr1q1nr/ppp3p1/2n1pp2/b2p1b1p/3P1B2/P1N1PN1P/1PP2PP1/1KR1QB1R w - - 0 9,55,39,-1.0
r1b1k1nr/2p2ppp/1bpp2q1/p7/P3P3/1N3Q2/1PPB1PPP/R3KB1R w KQkq - 2 11,45,46,1.0
1kr1q1nr/pp4p1/2np1p2/3ppb1p/3P3P/P1N1P3/1PPN1PP1/R2KQB1R w kq - 0 10,44,36,-1.0
3b4/5ppp/4k3/3N4/5P2/3RPK1P/PPr3P1/8 w - - 5 47,41,59,1.0
8/8/1P6/5k2/4R3/p1K5/1r2p3/8 w - - 1 58,45,37,0.0
6k1/2r2qp1/1pp1np2/3p1n2/1P1PrNR1/p3P2Q/P2B2PP/2R3K1 w - - 2 35,61,44,1.0
1r3r2/pn2p1kp/q2p1pp1/3P4/2p1PP2/1P1bN1P1/PQ4BP/3RR1K1 w - - 0 25,34,26,0.0
r2qkbnr/pp3ppp/2n1p3/3p1b2/3P1B2/5N2/PPPN1PPP/R2QKB1R w KQkq - 0 7,52,44,1.0
1kr1qb1r/pppn1ppp/4pn2/5b2/2B4Q/2N2P2/PPPP2PP/R1BK2NR w kq - 0 7,52,44,0.0
2kr4/pp3p2/2prpb2/7q/2PPQ3/PN1R1P2/KP6/3R4 w - - 0 32,46,39,-1.0
5rk1/5pp1/p4q2/3Qb3/1p1N3P/4P3/PP3P2/1K5R w - - 3 28,43,36,-1.0
1r6/5k2/ppr1p1p1/5pPp/PRpPPK1P/2P2P2/8/1R6 w - - 4 32,49,57,1.0
1k2rr2/p1pp4/1p5p/2B3p1/2P3P1/P2P4/1P5P/1KRbqBQ1 w - - 2 26,21,3,1.0
k5r1/3q1p2/P1p1p2p/1p2Pn1p/1p1P2r1/5NP1/1P2QP2/R1R2K2 w - - 1 30,52,37,0.0
rnq1kb1r/pp1b1ppp/4pn2/2p1N3/2Q5/6P1/PP1PPPBP/RNB1K2R w KQkq - 2 8,59,58,1.0
8/8/R7/3k4/pK6/1b6/8/8 w - - 64 84,42,35,0.0
4r1k1/1p3p2/1q1p2pb/3Pr3/6pP/P2Q2P1/1P1RNPK1/1R6 w - - 4 31,54,47,-1.0
7k/p1p1q1p1/7p/2p5/4r3/3Rp1P1/PPP1Q2P/6K1 w - - 0 27,55,47,-1.0
8/p1k5/1pp4p/6p1/2Pr4/1P1Br1nP/P1KR4/3R4 w - - 1 33,57,50,1.0
rnb1k2r/pp2ppbp/6p1/q1p5/2BPP3/2P5/P3NPPP/R1BQK2R w KQkq - 2 9,59,32,0.0
2kr1Q2/1p6/p1n2p2/5P2/6R1/3p2KP/1rq3P1/8 w - - 2 47,43,59,-1.0
8/1pp1b2p/p1n1k1pP/P3p1P1/1P2P1K1/2PNB3/8/8 w - - 5 46,59,42,0.0
1k1brr2/2p5/p2p1P2/2p1n1P1/2qp1N2/5P1N/PP1B4/R2K1Q2 w k - 0 28,53,26,1.0
rnbqkb1r/ppp2ppp/8/2npP3/8/2PB1N2/PP3PPP/RNBQK2R w KQkq - 2 7,28,34,0.0
r2r2k1/ppn1ppbp/2p2np1/3p1bB1/2PP4/1PN3P1/1P2PPBP/R2RN1K1 w - - 5 13,40,50,1.0
1kb2r2/p1p5/3p3p/2p1p2n/2P1N1p1/2P5/PP2N1P1/1K2R3 w - - 0 32,54,39,0.0
1k1nr3/1bpp3N/6p1/3P4/1pP1BP2/6b1/1P1BR3/1K6 w - - 0 30,32,25,-1.0
8/1p1k2pp/p1n1bp2/2B1p3/P3P3/1PK2P2/6PP/3B4 w - - 1 31,60,51,0.0
r3rk2/2p2qpp/pn1pbn2/1p2p3/4P1P1/5P1P/PPPbN3/1KNRQB1R w - - 0 14,25,11,1.0
1kr4r/pp1bq1p1/2pp3p/4n2B/3QPN2/3P2P1/PPP5/1K3R1R w - - 3 21,61,52,0.0
r2q1rk1/pp2npb1/2npb1pp/2p1p3/P1N1P3/3P1NP1/1PPB1PBP/R2Q1RK1 w - - 2 11,58,44,-1.0
r2r2k1/ppp2pbp/2n2n2/4pp2/8/BPN3P1/P3PPBP/2R2RK1 w - - 0 15,46,37,1.0
8/2n5/5B2/1p1kp3/pP1p4/P2P4/4K3/8 w - - 1 53,43,35,1.0
rnbkq1nr/pppp1ppp/8/2b1p3/8/2N5/PPPPPPPP/R1BKQBNR w KQkq - 2 2,61,34,0.0
4k3/p3b3/P3PK2/3r3p/5B1p/1R6/8/8 w - - 2 53,61,52,0.0
1k2r2r/pbp3p1/1p1b4/3n1q1p/4pP2/P1N1B1PP/1PP2QB1/1KR3R1 w - - 3 21,45,35,0.0
2b4r/5pk1/5p2/pN2pQ2/Pb6/1B1P2rP/KP6/8 w - - 4 36,49,58,-1.0
1kn5/ppp3pQ/3b1p2/3P4/1PP2p2/P7/KBBq2PP/8 w - - 3 28,4,11,0.0
8/1R6/1Pk5/1r6/8/3K4/8/8 w - - 1 69,43,42,0.0
rn3rk1/4q1pp/1npbbp2/pp1pp3/5PP1/PP1PP1NP/1BPN1QB1/R2K1R2 w k - 2 15,58,44,-1.0
2r5/5p1k/2p1q2p/2Pp4/QR6/4P3/5PP1/6K1 w - - 4 36,62,55,1.0
7r/rk3ppp/8/1N2n3/1P2P3/3p3P/2P3P1/2BK3R w q - 1 22,50,49,-1.0
4r3/pp3r1k/3B2p1/3p1b1p/2pP3P/P3P3/1PP5/1K3RR1 w - - 0 29,28,60,0.0
5Q2/8/1p3bk1/1Pp5/1rP5/K7/P7/8 w - - 9 52,37,46,0.0
r1bkq2r/ppp2ppp/5n2/3pn3/1b6/2N1PN2/PPPP2PP/R1BKQB1R w KQkq - 2 6,61,25,0.0
r2qk2r/1b2bppp/p1nppn2/1p6/4P3/PPN3P1/1BPQ1PBP/R3K1NR w KQkq - 3 11,61,52,-1.0
r2kqbnr/ppp1pppp/2n5/3p1b2/3P4/5N2/PPP1PPPP/RNBKQB1R w KQkq - 3 3,58,37,1.0
3r4/3r2k1/B3b1p1/P1q2p1p/3R4/5P2/1PPQ2PP/3R2K1 w - - 1 31,50,51,1.0
8/2p5/1pkp4/p5r1/P4Rb1/1P1P4/2PK4/6N1 w - - 9 43,36,38,0.0
4r3/2r4k/1pbq2p1/p1b1p1p1/4Pp2/2QP1P1P/1BP1N1PK/RR6 w - - 13 40,59,60,-1.0
4b3/1p2q1rk/p1p1p2p/2PpPpr1/PP5Q/3BPPR1/7P/6RK w - - 4 30,62,54,0.0
r1bqk2r/ppp1ppbp/n4np1/1N1p4/3P1B2/5N2/PPP1PPPP/R2QKB1R w KQkq - 4 6,57,40,1.0
1kr4r/ppp1q2p/5p2/4p3/1n1p4/1P1P1P2/PKP3PP/2R1QB1R w - - 1 16,42,25,1.0
1k5r/1bp5/pp2q3/3nNp2/1P1PpPp1/4P3/P2Q2P1/1KR2B2 w - - 0 29,60,44,0.0
r3rk2/2b2pp1/p1q1bn2/1pp1p1Q1/P1B1P3/2B2P2/1PPN3P/R1K4R w - - 0 20,41,33,0.0
8/8/8/2r3p1/3k3p/3b1B1P/1K3RP1/8 w - - 12 54,28,19,1.0
rnbkqbnr/pppp1ppp/8/4p3/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,52,36,1.0
1r3r1k/5p1p/1q1p1b2/2n1pP2/p1R1P3/4Q2P/PP1B3K/1R3B2 w - - 3 29,54,45,-1.0
1k5r/7p/1pp3p1/p1bQ2B1/8/2P3q1/P7/K1R2B2 w - - 0 30,50,42,-1.0
1k1r4/ppp2ppp/2nr4/4pb2/7q/1BNPQP2/PPP3PP/R3R1K1 w - - 2 17,25,31,0.0
r2b2k1/1ppn1rp1/2n1q2p/p2Npb2/2P5/BP3NP1/P2Q1PBP/R3R1K1 w - - 2 18,60,44,-1.0
1k1rq1r1/ppp4p/2npbn2/4p1p1/4P3/P1N2P2/1PPQN1PP/1K1R1B1R w - - 0 14,54,38,-1.0
1k2rb1r/1ppb1qpp/p1n2n2/3ppp2/3P4/2N1PP1P/PPPBNQP1/1KR2B1R w - - 0 10,48,40,1.0
1k1rq2r/pbp2pbp/1pn2np1/3p4/3p3P/1PN1PP2/PBP1NQP1/1KR2B1R w - - 0 11,36,27,1.0
8/R5K1/3k2P1/5b2/8/8/5r2/8 w - - 21 70,44,37,1.0
rnbqkb1r/pp1p1ppp/4pn2/2p3B1/3P4/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 4,50,34,-1.0
1k1rq2r/1pp1n1p1/p1nb2b1/6Pp/3pPp1N/PP3N1P/1BP5/1K1RQB1R w - - 0 17,48,40,0.0
1kr2r2/1pp1q2p/p2b4/3p1p1Q/3BbP2/1P1B4/P1P3PP/1K2R2R w - - 0 17,45,37,0.0
8/5p2/7p/4Pbp1/4q1k1/2Q3P1/1P6/2K1B3 w - - 22 72,39,30,-1.0
3r1rk1/1pp2pp1/2n4p/p1b5/5N2/2PP1P1P/PPB2P2/R3R1K1 w - - 1 22,48,34,1.0
2rq1rk1/1b1nbpp1/p1p1pn1p/1p6/3P3B/2N1PN2/PPQ1BPPP/R2R2K1 w - - 4 14,56,58,0.0
rr4k1/5bpp/1nQpq3/p1p1p3/P2p3P/BP1P1PP1/2PN4/K1R3R1 w - - 5 26,60,57,-1.0
r2q1rk1/1pnbbpp1/3p1n1p/p1p1p3/2P1P1PN/PPNPB2P/5PB1/R2QK2R w KQ - 1 16,58,59,-1.0
2q2rk1/4pp1p/b3n1pb/Q7/p1p1P3/4P1P1/PP1R2BP/3R2K1 w - - 6 25,54,47,-1.0
rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq - 2 3,62,45,1.0
rnbkqbnr/p1pppppp/1p6/8/8/8/PPPPPPPP/RNBKQBNR w KQkq - 0 1,49,41,0.0
rnbkqbnr/ppp1pppp/8/8/4p3/8/PPPP1PPP/RNBKQBNR w KQkq - 0 2,35,28,1.0
rnbqkb1r/pppp1ppp/4pn2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,52,44,0.0
rn1qkb1r/1p2pppp/p1p2n2/3p3b/2P5/1PN1PN1P/P2P1PP1/R1BQKB1R w KQkq - 1 7,30,39,-1.0
8/1p2b2p/p3pkp1/4p3/P7/2P2PNP/1P6/7K w - - 1 32,53,45,0.0
1k1rqb1r/pbp1n1pp/1pn1pp2/3p4/4PP2/3PBN2/PPPN1QPP/1KR2B1R w - - 0 9,53,45,0.0
1kr4r/1p6/p1n2p2/3n2q1/1P1PB3/P4P1P/5Q2/4R1BK w - - 1 35,62,63,-1.0
1k2r2r/bppqnnp1/p4p2/2P1p3/1P1pP2p/P2P1P2/1B1N1NPP/1KR1Q2R w - - 0 21,59,53,-1.0
rnbqk2r/pp1p1ppp/4pn2/2p5/1bPP4/5N2/PP1BPPPP/RN1QKB1R w KQkq - 0 5,50,34,1.0
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,50,34,-1.0
r6k/1pp3R1/1n1pP2p/p6r/2P5/7P/PPKB4/6R1 w - - 1 32,62,63,1.0
r3r1k1/3b1ppp/n2P4/2p5/p7/P3N1P1/1P1R1P1P/2R2BK1 w - - 1 30,52,60,1.0
rnbqkb1r/1p3ppp/p2ppn2/8/3NP1P1/2N5/PPP2P1P/R1BQKB1R w KQkq - 0 7,48,40,0.0
1k6/pbpp4/1pn1p2b/4Pp2/5P2/2NP4/PPP1N1B1/1K6 w - - 1 27,54,47,1.0
1kr3nr/pbppq2p/1pn5/4pp2/8/2NP1N2/PPPQ1PPP/1KR2B1R w - - 0 10,46,37,0.0
1kr2b1r/pppqn1pp/4b3/3pp1N1/3n4/1PN3P1/P1PPP1BP/R1BK1Q1R w kq - 1 10,59,57,-1.0
3b4/6p1/1p6/p1p4p/3kbP2/8/PPPB2BP/2K5 w - - 5 37,37,28,1.0
8/8/3k4/7R/8/2K5/8/1B2r3 w - - 9 45,34,43,0.0
r1r3k1/1b3ppp/5n2/pq1p4/1p1Q1B2/4P1P1/1P3PBP/2R2RK1 w - - 0 22,40,32,0.0
r2kqbnr/ppp1pppp/2n5/3p4/5Pb1/4P3/PPPP2PP/RNBKQBNR w KQkq - 1 3,58,30,0.0
2R5/8/8/P7/3r3p/1K1pk3/8/8 w - - 1 68,30,27,1.0
1kr5/ppp2b2/r7/4pP1p/2Pp3Q/qNn3BP/P1R1B1P1/1K5R w - - 4 24,24,18,1.0
3r4/2p3R1/ppkp4/8/P7/1P6/1KP5/8 w - - 8 40,60,59,0.0
6k1/r2n1pbp/prBPqnp1/2p1p3/P4B2/2N5/1P1Q1PPP/R3R1K1 w - - 5 19,57,41,-1.0
8/p4p2/5R2/3kpp1P/8/5K2/P4PP1/7r w - - 3 39,1,7,1.0
7r/1b1P1k2/1b3p2/4pPp1/pNr1P3/1qPQR1N1/1P1R2K1/8 w - - 1 62,31,63,1.0
8/7p/3p2pk/P7/2Q5/7P/r4qP1/6RK w - - 3 39,54,47,0.0
1r1k3r/2bq2pp/2npbp2/ppp5/P2pPPPP/1P1P4/1NPBB3/1KR1Q1R1 w Q - 1 18,56,57,0.0
3rRbrk/1p3p1n/5p2/p2q1P1p/3P3P/1N3QB1/PP2R1PK/8 w - - 2 36,58,59,1.0
r4rk1/pp2pp1p/2p1b1p1/4b3/4P3/2P1BP2/PP4PP/R2K1B1R w - - 0 15,54,36,0.0
2r2k2/6p1/8/3Q4/P3P1P1/1Pq2Pb1/K7/8 w - - 4 69,62,61,-1.0
r6r/ppkb2Np/3q4/2p1Q3/3pPnP1/3P4/PPP1B3/R2K3R w kq - 1 26,46,43,0.0
r1bqkb1r/p2n1ppp/1pp1pn2/3p4/2PP4/5NP1/PPQ1PPBP/RNB1K2R w KQkq - 0 7,49,41,-1.0
1k6/p3qb2/1p1r3p/2p3p1/3Pn3/BP1Q3P/P1PP4/1K3R2 w - - 0 33,45,28,1.0
6k1/p4R2/2PN3p/4p3/4K3/r5P1/6bP/8 w - - 4 34,23,14,1.0
1k1nrb1r/1ppq1bp1/pn3p2/3p1N1p/3P2P1/PPNBPQ1P/2P5/1KBR3R w - - 3 22,42,59,1.0
8/kp4p1/2n1N2p/p4R2/3p4/P2P2PP/KP4r1/8 w - - 2 42,10,14,1.0
3rr1k1/p2nqpp1/b1p4p/3p4/PR4P1/2PPP1QP/2KB4/R4B2 w - - 2 21,34,51,-1.0
r1bqk1nr/pp3pbp/2np2p1/2p1p3/4P3/2P2NP1/PP1P1PBP/RNBQ1RK1 w kq - 0 7,52,36,1.0
8/pp6/3p3k/2pP1p2/b1P2P1p/2P2BrP/P5P1/n2K2R1 w - - 1 37,51,24,-1.0
1k1rr3/ppp3p1/2b2q2/8/6p1/P1NP4/1PP4Q/1K2R2R w - - 7 29,51,42,1.0
r1bq1rk1/ppp1p1bp/1n4p1/4Pp2/1n1P4/2N1BP2/PP1Q2PP/2KR1BNR w - - 1 11,42,25,1.0
r2kqb1r/pppb2pp/2n2n2/3ppp2/8/1PN1P3/PBPP1PPP/1KR1QBNR w KQ - 2 6,58,51,-1.0
6r1/8/pR4p1/2pp3k/Pn6/8/3KP3/6R1 w - - 1 46,47,39,1.0
8/8/8/5p2/5K2/2nk4/8/8 w - - 0 106,27,19,0.0
r1bq1rk1/pppp1ppp/5n2/2n1p3/2P1P3/2P3P1/PP2QPBP/R1B1K1NR w KQ - 3 8,40,34,-1.0
1kr4r/1bp1n1pp/p3qp2/1p2p1P1/4P3/1P1PbNNP/1PP5/1KR1Q2R w - - 0 23,41,20,1.0
1k2r2r/1p3R1p/1n1b2pB/4p3/2Ppq2N/PP5Q/6PP/R2K4 w k - 0 24,42,28,1.0
8/5R2/4k2p/1pp5/4P3/pPK5/r7/8 w - - 1 39,51,44,1.0
2r2rk1/pp1nbppp/4p3/3pP3/3P4/6P1/PP1NNPP1/2R2RK1 w - - 3 16,60,62,1.0
r2k2r1/pp2qp1p/3b1n1Q/2p1n3/3pP1b1/3P1N2/PPP1N1PP/R1BK1B1R w Kkq - 3 11,58,30,-1.0
r2kqb1r/pppbn1pp/2n2p2/4p3/4P3/2QP1N2/PP2NPPP/R1BK1B1R w KQkq - 1 8,58,51,0.0
rnbkq2r/pp4pp/2p2n2/3ppp2/1b6/1PN1P3/PBPP1PPP/1KR1QBNR w KQ - 0 6,50,42,1.0
8/8/8/5p2/4b2p/6k1/2R5/6K1 w - - 2 103,21,28,0.0
k1r2r2/pp2b2p/3n2q1/3B2p1/1BpP2P1/2N1P3/PPP3Q1/1K3R2 w - - 3 25,60,61,-1.0
1kr1qb1r/pp1n1bp1/2p2n1p/3ppP2/4P3/2N1BN2/PPP3PP/1K1RQB1R w - - 0 12,43,35,1.0
1k2r2r/ppp3pp/5pn1/2Q5/8/3P2Pq/PPP1N2P/1K2R2R w - - 0 17,51,23,-1.0
1k6/1pp4r/p1q4r/3p1p2/3PnP2/PP2RQ2/2P5/1KB4R w - - 2 33,44,47,1.0
1k4r1/p1p4p/8/2P5/8/P3pp1P/K2N1R2/8 w - - 0 45,28,20,1.0
1kr1qbr1/pbp1n1p1/1p1n3p/3pNp2/5N2/2B1PP2/PPP3PP/1KR1QB1R w - - 1 15,63,62,-1.0
r1bkqbnr/ppp1pppp/2n5/3p4/5P2/8/PPPPP1PP/RNBKQBNR w KQkq - 1 2,57,42,1.0
rnbqkbnr/pp3ppp/4p3/8/2Bp4/5N2/PPPN1PPP/R1BQK2R w KQkq - 2 7,35,59,0.0
8/8/6r1/1k1P4/4P3/4K1p1/6R1/8 w - - 6 64,45,46,-1.0
rnbqkb1r/pp1ppppp/5n2/2p5/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,50,34,0.0
r1r2bk1/pp1n1p2/1qp1p1p1/4P3/3P1P2/2n1B3/PPQ2P2/1K1R1B1R w - - 0 21,35,18,1.0
3r1b2/k4q1p/pp4p1/2rb2P1/2P1QP2/P3P3/1B6/1K1RR3 w - - 0 29,49,35,0.0
6k1/4bpp1/pp2b3/2p1P2p/Pr6/1P3R2/6PP/2B1R1K1 w - - 4 38,27,25,-1.0
k7/1p6/p5p1/8/3Q1Pq1/1PK5/2P5/8 w - - 4 48,31,30,0.0
r1bq1rk1/ppp2ppp/2np1n2/2b1p3/4P3/1B1P1N2/PPP2PPP/RNBQ1RK1 w - - 0 7,51,43,1.0
